node,label,sponsor,node_type,size,color,shape,sponsored,cosponsored,source
139,"Napolitano, Grace F. [Rep.-D-CA-31]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
140,"Neal, Richard E. [Rep.-D-MA-1]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 5988,13.0
141,"Norman, Ralph [Rep.-R-SC-5]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 12,1.0
142,"Norton, Eleanor Holmes [Del.-D-DC]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
143,"Ocasio-Cortez, Alexandria [Rep.-D-NY-14]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
144,"Ogles, Andrew [Rep.-R-TN-5]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 19,2.0
145,"Owens, Burgess [Rep.-R-UT-4]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 5988,13.0
146,"Padilla, Alex [Sen.-D-CA]",NA,cosponsor,60.0,#0047AB,o,NA,S. 393,19.0
147,"Palmer, Gary J. [Rep.-R-AL-6]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
148,"Panetta, Jimmy [Rep.-D-CA-19]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 5988,13.0
149,"Payne, Donald M., Jr. [Rep.-D-NJ-10]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
150,"Peltola, Mary Sattler [Rep.-D-AK-At Large]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
151,"Pingree, Chellie [Rep.-D-ME-1]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
152,"Plaskett, Stacey E. [Del.-D-VI]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 5988,13.0
153,"Pocan, Mark [Rep.-D-WI-2]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
154,"Porter, Katie [Rep.-D-CA-47]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
155,"Posey, Bill [Rep.-R-FL-8]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 19,2.0
156,"Raskin, Jamie [Rep.-D-MD-8]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
157,"Ricketts, Pete [Sen.-R-NE]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 13,22.0
158,"Risch, James E. [Sen.-R-ID]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 13,22.0
159,"Rutherford, John H. [Rep.-R-FL-5]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
160,"Sablan, Gregorio Kilili Camacho [Del.-D-MP]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
161,"Santos, George [Rep.-R-NY-3]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
162,"Scanlon, Mary Gay [Rep.-D-PA-5]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
163,"Schmitt, Eric [Sen.-R-MO]",NA,cosponsor,60.0,#B22222,o,NA,S. 6,20.0
164,"Schweikert, David [Rep.-R-AZ-1]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 5988,13.0
165,"Sherrill, Mikie [Rep.-D-NJ-11]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 5988,13.0
166,"Simpson, Michael K. [Rep.-R-ID-2]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 12,1.0
167,"Smith, Adrian [Rep.-R-NE-3]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 5988,13.0
168,"Smith, Tina [Sen.-D-MN]",NA,cosponsor,60.0,#0047AB,o,NA,S. 393,19.0
169,"Smucker, Lloyd [Rep.-R-PA-11]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 5988,13.0
170,"Steel, Michelle [Rep.-R-CA-45]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 5988,13.0
171,"Strong, Dale W. [Rep.-R-AL-5]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
172,"Sánchez, Linda T. [Rep.-D-CA-38]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 5988,13.0
